ID (#),Age,Primary Const Code,UTD Giving Total,"AVG Giving 
Over 6 years","Max Prelim Rating vs
Windfall Capacity",Windfall PTG Rating
6800,54,Alumni,$0.00,$0.00,0,50
6801,52,Alumni,$0.00,$0.00,0,50
6802,52,Alumni,$0.00,$0.00,0,50
6803,63,Alumni,$0.00,$0.00,0,50
6804,70,Alumni,$20.00,$3.33,0,50
6805,57,Alumni,$0.00,$0.00,0,50
6806,55,Alumni,$0.00,$0.00,0,50
6807,43,Alumni,$50.00,$8.33,0,50
6808,60,Alumni,$0.00,$0.00,0,50
6809,61,Alumni,$0.00,$0.00,0,50
6810,59,Alumni,$0.00,$0.00,0,50
6811,42,Alumni,$0.00,$0.00,0,50
6812,42,Alumni,$0.00,$0.00,0,50
6813,45,Alumni,$0.00,$0.00,0,50
6814,57,Alumni,$0.00,$0.00,0,50
6815,57,Alumni,$0.00,$0.00,0,50
6816,41,Alumni,$0.00,$0.00,0,50
6817,47,Alumni,$0.00,$0.00,0,50
6818,42,Alumni,$20.00,$3.33,0,50
6819,47,Alumni,$0.00,$0.00,0,50
6820,44,Alumni,$0.00,$0.00,0,50
6821,78,Alumni,$0.00,$0.00,0,50
6822,45,Alumni,$0.00,$0.00,0,50
6823,53,Alumni,$0.00,$0.00,0,50
6824,50,Alumni,$0.00,$0.00,0,50
6825,72,Alumni,$0.00,$0.00,0,50
6826,45,Alumni,$0.00,$0.00,0,50
6827,44,Alumni,$0.00,$0.00,0,50
6828,42,Alumni,$160.10,$26.68,0,50
6829,43,Alumni,$0.00,$0.00,0,50
6830,51,Alumni,$0.00,$0.00,0,50
6831,42,Alumni,$0.00,$0.00,0,50
6832,54,Alumni,$0.00,$0.00,0,50
6833,35,Alumni,$0.00,$0.00,0,50
6834,42,Alumni,$150.00,$25.00,0,50
6835,42,Alumni,$0.00,$0.00,0,50
6836,54,Alumni,$0.00,$0.00,0,50
6837,42,Alumni,$0.00,$0.00,0,50
6838,42,Alumni,$0.00,$0.00,0,50
6839,42,Alumni,$0.00,$0.00,0,50
6840,42,Alumni,$0.00,$0.00,0,50
6841,56,Alumni,$0.00,$0.00,0,50
6842,41,Alumni,$60.00,$10.00,0,50
6843,49,Alumni,$0.00,$0.00,0,50
6844,46,Alumni,$0.00,$0.00,0,50
6845,68,Alumni,$0.00,$0.00,0,50
6846,44,Alumni,$50.00,$8.33,0,50
6847,54,Alumni,$0.00,$0.00,0,50
6848,42,Alumni,$0.00,$0.00,0,50
6849,44,Alumni,$0.00,$0.00,0,50
6850,72,Alumni,$0.00,$0.00,0,50
6851,73,Alumni,$0.00,$0.00,0,50
6852,49,Alumni,$0.00,$0.00,0,50
6853,45,Alumni,$0.00,$0.00,0,50
6854,46,Alumni,$0.00,$0.00,0,50
6855,50,Alumni,$0.00,$0.00,0,50
6856,58,Alumni,$0.00,$0.00,0,50
6857,46,Alumni,$0.00,$0.00,0,50
6858,69,Alumni,$0.00,$0.00,0,50
6859,47,Alumni,$0.00,$0.00,0,50
6860,42,Alumni,$0.00,$0.00,0,50
6861,53,Alumni,$50.00,$8.33,0,50
6862,43,Alumni,$0.00,$0.00,0,50
6863,44,Alumni,$0.00,$0.00,0,50
6864,42,Alumni,$0.00,$0.00,0,50
6865,50,Alumni,$0.00,$0.00,0,50
6866,50,Alumni,$0.00,$0.00,0,50
6867,49,Alumni,$0.00,$0.00,0,50
6868,45,Alumni,$0.00,$0.00,0,50
6869,53,Alumni,$0.00,$0.00,0,50
6870,57,Alumni,$0.00,$0.00,0,50
6871,41,Alumni,$50.00,$8.33,0,50
6872,60,Alumni,$212.20,$35.37,0,50
6873,46,Alumni,$0.00,$0.00,0,50
6874,62,Alumni,$0.00,$0.00,0,50
6875,45,Alumni,$0.00,$0.00,0,50
6876,66,Alumni,$0.00,$0.00,0,50
6877,75,Alumni,$0.00,$0.00,0,50
6878,44,Alumni,$0.00,$0.00,0,50
6879,47,Alumni,$0.00,$0.00,0,50
6880,68,Alumni,$0.00,$0.00,0,50
6881,42,Alumni,$0.00,$0.00,0,50
6882,51,Alumni,$0.00,$0.00,0,50
6883,42,Alumni,$0.00,$0.00,0,50
6884,63,Alumni,$0.00,$0.00,0,50
6885,42,Alumni,$29.00,$4.83,0,50
6886,43,Alumni,$0.00,$0.00,0,50
6887,45,Alumni,$50.00,$8.33,0,50
6888,39,Alumni,$0.00,$0.00,0,50
6889,68,Alumni,$0.00,$0.00,0,50
6890,58,Alumni,$20.00,$3.33,0,50
6891,44,Alumni,$50.00,$8.33,0,50
6892,44,Alumni,$75.00,$12.50,0,50
6893,43,Alumni,$0.00,$0.00,0,50
6894,50,Alumni,$0.00,$0.00,0,50
6895,54,Alumni,$0.00,$0.00,0,50
6896,41,Alumni,$0.00,$0.00,0,50
6897,44,Alumni,$0.00,$0.00,0,50
6898,51,Alumni,$0.00,$0.00,0,50
6899,42,Alumni,$0.00,$0.00,0,50
6900,50,Alumni,$10.00,$1.67,0,50
6901,42,Alumni,$0.00,$0.00,0,50
6902,42,Alumni,$0.00,$0.00,0,50
6903,45,Alumni,$20.00,$3.33,0,50
6904,49,Alumni,$0.00,$0.00,0,50
6905,52,Alumni,$0.00,$0.00,0,50
6906,50,Alumni,$0.00,$0.00,0,50
6907,45,Alumni,$0.00,$0.00,0,50
6908,35,Alumni,$750.00,$125.00,0,50
6909,33,Alumni,$55.00,$9.17,0,50
6910,41,Alumni,$0.00,$0.00,0,50
6911,50,Alumni,$0.00,$0.00,0,50
6912,38,Alumni,$0.00,$0.00,0,50
6913,37,Alumni,$150.00,$25.00,0,50
6914,72,Alumni,$0.00,$0.00,0,50
6915,44,Alumni,$125.00,$20.83,0,50
6916,43,Alumni,$0.00,$0.00,0,50
6917,63,Alumni,$0.00,$0.00,0,50
6918,43,Alumni,$10.00,$1.67,0,50
6919,38,Alumni,$50.00,$8.33,0,50
6920,35,Alumni,$0.00,$0.00,0,50
6921,39,Alumni,$20.12,$3.35,0,50
6922,49,Alumni,$0.00,$0.00,0,50
6923,47,Alumni,$0.00,$0.00,0,50
6924,48,Alumni,$0.00,$0.00,0,50
6925,42,Alumni,$0.00,$0.00,0,50
6926,43,Alumni,$0.00,$0.00,0,50
6927,50,Alumni,$0.00,$0.00,0,50
6928,48,Alumni,$0.00,$0.00,0,50
6929,45,Alumni,$0.00,$0.00,0,50
6930,43,Alumni,$0.00,$0.00,0,50
6931,54,Alumni,$0.00,$0.00,0,50
6932,41,Alumni,$0.00,$0.00,0,50
6933,43,Alumni,$0.00,$0.00,0,50
6934,48,Alumni,$0.00,$0.00,0,50
6935,43,Alumni,$0.00,$0.00,0,50
6936,47,Alumni,$100.00,$16.67,0,50
6937,46,Alumni,$0.00,$0.00,0,50
6938,60,Alumni,$0.00,$0.00,0,50
6939,46,Alumni,$160.00,$26.67,0,50
6940,47,Alumni,$0.00,$0.00,0,50
6941,34,Alumni,$0.00,$0.00,0,50
6942,54,Alumni,$150.00,$25.00,0,50
6943,49,Alumni,$0.00,$0.00,0,50
6944,65,Alumni,$0.00,$0.00,0,50
6945,47,Alumni,$0.00,$0.00,0,50
6946,46,Alumni,$0.00,$0.00,0,50
6947,42,Alumni,$0.00,$0.00,0,50
6948,52,Alumni,$0.00,$0.00,0,50
6949,50,Alumni,$0.00,$0.00,0,50
6950,42,Alumni,$0.00,$0.00,0,50
6951,31,Alumni,$0.00,$0.00,0,50
6952,49,Alumni,$0.00,$0.00,0,50
6953,60,Alumni,$0.00,$0.00,0,50
6954,49,Alumni,$0.00,$0.00,0,50
6955,56,Alumni,$0.00,$0.00,0,50
6956,46,Alumni,$10.00,$1.67,0,50
6957,60,Alumni,$0.00,$0.00,0,50
6958,44,Alumni,$0.00,$0.00,0,50
6959,43,Alumni,$0.00,$0.00,0,50
6960,48,Alumni,$0.00,$0.00,0,50
6961,46,Alumni,$0.00,$0.00,0,50
6962,43,Alumni,$0.00,$0.00,0,50
6963,51,Alumni,$0.00,$0.00,0,50
6964,43,Alumni,$0.00,$0.00,0,50
6965,48,Alumni,$0.00,$0.00,0,50
6966,50,Alumni,$0.00,$0.00,0,50
6967,45,Alumni,$0.00,$0.00,0,50
6968,53,Alumni,$0.00,$0.00,0,50
6969,47,Alumni,$0.00,$0.00,0,50
6970,51,Alumni,$0.00,$0.00,0,50
6971,48,Alumni,$0.00,$0.00,0,50
6972,59,Alumni,$0.00,$0.00,0,50
6973,56,Alumni,$0.00,$0.00,0,50
6974,55,Alumni,$0.00,$0.00,0,50
6975,41,Alumni,$0.00,$0.00,0,50
6976,55,Alumni,$0.00,$0.00,0,50
6977,46,Alumni,$0.00,$0.00,0,50
6978,43,Alumni,$0.00,$0.00,0,50
6979,63,Alumni,$0.00,$0.00,0,50
6980,49,Alumni,$0.00,$0.00,0,50
6981,73,Alumni,$0.00,$0.00,0,49
6982,62,Alumni,$0.00,$0.00,0,49
6983,79,Alumni,$0.00,$0.00,0,49
6984,65,Alumni,$0.00,$0.00,0,49
6985,72,Alumni,$0.00,$0.00,0,49
6986,58,Alumni,$0.00,$0.00,0,49
6987,73,Alumni,$0.00,$0.00,0,49
6988,65,Alumni,$0.00,$0.00,0,49
6989,64,Alumni,$0.00,$0.00,0,49
6990,75,Alumni,$0.00,$0.00,0,49
6991,67,Alumni,$0.00,$0.00,0,49
6992,54,Alumni,$0.00,$0.00,0,49
6993,72,Alumni,$0.00,$0.00,0,49
6994,74,Alumni,$0.00,$0.00,0,49
6995,77,Alumni,$0.00,$0.00,0,49
6996,69,Alumni,$0.00,$0.00,0,49
6997,84,Alumni,$0.00,$0.00,0,49
6998,60,Alumni,$0.00,$0.00,0,49
6999,61,Alumni,$0.00,$0.00,0,49
7000,85,Alumni,$0.00,$0.00,0,49
7001,63,Alumni,$0.00,$0.00,0,49
7002,64,Alumni,$0.00,$0.00,0,49
7003,65,Alumni,$0.00,$0.00,0,49
7004,67,Alumni,$0.00,$0.00,0,49
7005,70,Alumni,$0.00,$0.00,0,49
7006,79,Alumni,$0.00,$0.00,0,49
7007,65,Alumni,$0.00,$0.00,0,49
7008,75,Alumni,$0.00,$0.00,0,49
7009,74,Alumni,$0.00,$0.00,0,49
7010,69,Alumni,$0.00,$0.00,0,49
7011,60,Alumni,$0.00,$0.00,0,49
7012,62,Alumni,$0.00,$0.00,0,49
7013,74,Alumni,$0.00,$0.00,0,49
7014,72,Alumni,$0.00,$0.00,0,49
7015,69,Alumni,$0.00,$0.00,0,49
7016,68,Alumni,$0.00,$0.00,0,49
7017,73,Alumni,$0.00,$0.00,0,49
7018,69,Alumni,$0.00,$0.00,0,49
7019,63,Alumni,$0.00,$0.00,0,49
7020,65,Alumni,$0.00,$0.00,0,49
7021,70,Alumni,$0.00,$0.00,0,49
7022,65,Alumni,$0.00,$0.00,0,49
7023,65,Alumni,$110.00,$18.33,0,49
7024,62,Alumni,$0.00,$0.00,0,49
7025,65,Alumni,$0.00,$0.00,0,49
7026,63,Alumni,$0.00,$0.00,0,49
7027,60,Alumni,$920.00,$153.33,0,49
7028,67,Alumni,$0.00,$0.00,0,49
7029,59,Alumni,$0.00,$0.00,0,49
7030,69,Alumni,$0.00,$0.00,0,49
7031,70,Alumni,$0.00,$0.00,0,49
7032,73,Alumni,$0.00,$0.00,0,49
7033,89,Alumni,$0.00,$0.00,0,49
7034,60,Alumni,$0.00,$0.00,0,49
7035,58,Alumni,$0.00,$0.00,0,49
7036,78,Alumni,$0.00,$0.00,0,49
7037,77,Alumni,$0.00,$0.00,0,49
7038,57,Alumni,$0.00,$0.00,0,49
7039,72,Alumni,$0.00,$0.00,0,49
7040,73,Alumni,$145.00,$24.17,0,49
7041,57,Alumni,$0.00,$0.00,0,49
7042,67,Alumni,$0.00,$0.00,0,49
7043,63,Alumni,$0.00,$0.00,0,49
7044,63,Alumni,$0.00,$0.00,0,49
7045,66,Alumni,$0.00,$0.00,0,49
7046,71,Alumni,$0.00,$0.00,0,49
7047,68,Alumni,$0.00,$0.00,0,49
7048,81,Alumni,$0.00,$0.00,0,49
7049,61,Alumni,$10.00,$1.67,0,49
7050,62,Alumni,$0.00,$0.00,0,49
7051,63,Alumni,$0.00,$0.00,0,49
7052,62,Alumni,$75.00,$12.50,0,49
7053,62,Alumni,$0.00,$0.00,0,49
7054,80,Alumni,$50.00,$8.33,0,49
7055,69,Alumni,$0.00,$0.00,0,49
7056,64,Alumni,$0.00,$0.00,0,49
7057,63,Alumni,$0.00,$0.00,0,49
7058,73,Alumni,$0.00,$0.00,0,49
7059,85,Alumni,$0.00,$0.00,0,49
7060,75,Alumni,$0.00,$0.00,0,49
7061,60,Alumni,$50.00,$8.33,0,49
7062,70,Alumni,$0.00,$0.00,0,49
7063,58,Alumni,$0.00,$0.00,0,49
7064,61,Alumni,$0.00,$0.00,0,49
7065,72,Alumni,$0.00,$0.00,0,49
7066,66,Alumni,$0.00,$0.00,0,49
7067,61,Alumni,$0.00,$0.00,0,49
7068,62,Alumni,$0.00,$0.00,0,49
7069,60,Alumni,$0.00,$0.00,0,49
7070,75,Alumni,$0.00,$0.00,0,49
7071,69,Alumni,$0.00,$0.00,0,49
7072,70,Alumni,$0.00,$0.00,0,49
7073,74,Alumni,$25.00,$4.17,0,49
7074,63,Alumni,$0.00,$0.00,0,49
7075,71,Alumni,$0.00,$0.00,0,49
7076,72,Alumni,$0.00,$0.00,0,49
7077,66,Alumni,$0.00,$0.00,0,49
7078,69,Alumni,$0.00,$0.00,0,49
7079,77,Alumni,$0.00,$0.00,0,49
7080,58,Alumni,$0.00,$0.00,0,49
7081,58,Alumni,$0.00,$0.00,0,49
7082,66,Alumni,$0.00,$0.00,0,49
7083,79,Alumni,$0.00,$0.00,0,49
7084,56,Alumni,$0.00,$0.00,0,49
7085,71,Alumni,$50.00,$8.33,0,49
7086,69,Alumni,$955.00,$159.17,0,49
7087,77,Alumni,$0.00,$0.00,0,49
7088,62,Alumni,$0.00,$0.00,0,49
7089,71,Alumni,$0.00,$0.00,0,49
7090,61,Alumni,$0.00,$0.00,0,49
7091,81,Alumni,$0.00,$0.00,0,49
7092,62,Alumni,$0.00,$0.00,0,49
7093,65,Alumni,$25.00,$4.17,0,49
7094,80,Alumni,$0.00,$0.00,0,49
7095,56,Alumni,$0.00,$0.00,0,49
7096,59,Alumni,$0.00,$0.00,0,49
7097,79,Alumni,$0.00,$0.00,0,49
7098,73,Alumni,$0.00,$0.00,0,49
7099,65,Alumni,$0.00,$0.00,0,49
7100,65,Alumni,$0.00,$0.00,0,49
7101,69,Alumni,$0.00,$0.00,0,49
7102,68,Alumni,$0.00,$0.00,0,49
7103,60,Alumni,$0.00,$0.00,0,49
7104,70,Alumni,$0.00,$0.00,0,49
7105,65,Alumni,$50.00,$8.33,0,49
7106,64,Alumni,$0.00,$0.00,0,49
7107,59,Alumni,$0.00,$0.00,0,49
7108,63,Alumni,$0.00,$0.00,0,49
7109,79,Alumni,$0.00,$0.00,0,49
7110,68,Alumni,$0.00,$0.00,0,49
7111,56,Alumni,$0.00,$0.00,0,49
7112,74,Alumni,$0.00,$0.00,0,49
7113,81,Alumni,$0.00,$0.00,0,49
7114,81,Alumni,$0.00,$0.00,0,49
7115,67,Alumni,$0.00,$0.00,0,49
7116,76,Alumni,$0.00,$0.00,0,49
7117,79,Alumni,$0.00,$0.00,0,49
7118,60,Alumni,$0.00,$0.00,0,49
7119,62,Alumni,$0.00,$0.00,0,49
7120,90,Alumni,$0.00,$0.00,0,49
7121,86,Alumni,$0.00,$0.00,0,49
7122,64,Alumni,$0.00,$0.00,0,49
7123,80,Alumni,$0.00,$0.00,0,49
7124,64,Alumni,$0.00,$0.00,0,49
7125,69,Alumni,$0.00,$0.00,0,49
7126,85,Alumni,$0.00,$0.00,0,49
7127,65,Alumni,$0.00,$0.00,0,49
7128,69,Alumni,$0.00,$0.00,0,49
7129,64,Alumni,$0.00,$0.00,0,49
7130,57,Alumni,$0.00,$0.00,0,49
7131,60,Alumni,$0.00,$0.00,0,49
7132,68,Alumni,$0.00,$0.00,0,49
7133,67,Alumni,$0.00,$0.00,0,49
7134,76,Alumni,$0.00,$0.00,0,49
7135,62,Alumni,$0.00,$0.00,0,49
7136,63,Alumni,$0.00,$0.00,0,49
7137,70,Alumni,$0.00,$0.00,0,49
7138,61,Alumni,$0.00,$0.00,0,49
7139,56,Alumni,$0.00,$0.00,0,49
7140,55,Alumni,$0.00,$0.00,0,49
7141,67,Alumni,$0.00,$0.00,0,49
7142,64,Alumni,$0.00,$0.00,0,49
7143,72,Alumni,$0.00,$0.00,0,49
7144,82,Alumni,$0.00,$0.00,0,49
7145,58,Alumni,$0.00,$0.00,0,49
7146,78,Alumni,$0.00,$0.00,0,49
7147,59,Alumni,$0.00,$0.00,0,49
7148,87,Alumni,$0.00,$0.00,0,49
7149,63,Alumni,$0.00,$0.00,0,49
7150,60,Alumni,$0.00,$0.00,0,49
7151,70,Alumni,$0.00,$0.00,0,49
7152,68,Alumni,$0.00,$0.00,0,49
7153,76,Alumni,$0.00,$0.00,0,49
7154,70,Alumni,$0.00,$0.00,0,49
7155,61,Alumni,$0.00,$0.00,0,49
7156,73,Alumni,$0.00,$0.00,0,49
7157,58,Alumni,$0.00,$0.00,0,49
7158,69,Alumni,$0.00,$0.00,0,49
7159,74,Alumni,$0.00,$0.00,0,49
7160,58,Alumni,$0.00,$0.00,0,49
7161,72,Alumni,$0.00,$0.00,0,49
7162,57,Alumni,$0.00,$0.00,0,49
7163,67,Alumni,$0.00,$0.00,0,49
7164,71,Alumni,$0.00,$0.00,0,49
7165,67,Alumni,$0.00,$0.00,0,49
7166,77,Alumni,$0.00,$0.00,0,49
